OriginLineNaptanType,DestinationLineNaptanType,Line,OriginStopName,OriginStopAtcoCode,DestinationStopName,DestinationStopAtcoCode,LinkTime,EO?,ED?,,
MET,MET,PIC,Leicester Square,9400ZZLULSQ,Piccadilly Circus,9400ZZLUPCC,85,,,,
MET,MET,PIC,Piccadilly Circus,9400ZZLUPCC,Green Park,9400ZZLUGPK,95,,,,
MET,MET,PIC,Green Park,9400ZZLUGPK,Hyde Park Corner,9400ZZLUHPC,123,,,,
MET,MET,PIC,Hyde Park Corner,9400ZZLUHPC,Knightsbridge,9400ZZLUKNB,90,,,,
MET,MET,PIC,Knightsbridge,9400ZZLUKNB,South Kensington,9400ZZLUSKS,158,,,,
MET,MET,PIC,South Kensington,9400ZZLUSKS,Gloucester Road,9400ZZLUGTR,106,,,,
MET,MET,PIC,Gloucester Road,9400ZZLUGTR,Earl's Court,9400ZZLUECT,102,,,,
MET,MET,PIC,Earl's Court,9400ZZLUECT,Barons Court,9400ZZLUBSC,184,,,,
MET,MET,PIC,Barons Court,9400ZZLUBSC,Hammersmith,9400ZZLUHSC,126,,,,
MET,MET,PIC,Hammersmith,9400ZZLUHSC,Acton Town,9400ZZLUACT,380,,,,
MET,MET,PIC,Acton Town,9400ZZLUACT,South Ealing,9400ZZLUSEA,202,,,,
MET,MET,PIC,South Ealing,9400ZZLUSEA,Northfields,9400ZZLUNFD,78,,,,
MET,MET,PIC,Northfields,9400ZZLUNFD,Boston Manor,9400ZZLUBOS,115,,,,
MET,MET,PIC,Boston Manor,9400ZZLUBOS,Osterley,9400ZZLUOSY,194,,,,
MET,MET,PIC,Osterley,9400ZZLUOSY,Hounslow East,9400ZZLUHWE,115,,,,
MET,MET,PIC,Hounslow East,9400ZZLUHWE,Hounslow Central,9400ZZLUHWC,97,,,,
MET,MET,PIC,Hounslow Central,9400ZZLUHWC,Hounslow West,9400ZZLUHWT,155,,,,
MET,MET,PIC,Hounslow West,9400ZZLUHWT,Hatton Cross,9400ZZLUHNX,266,,,,
MET,MET,PIC,Hatton Cross,9400ZZLUHNX,Heathrow Terminal 4,9400ZZLUHR4,138,,,,
MET,MET,PIC,Hatton Cross,9400ZZLUHNX,Heathrow Terminals 2 & 3,9400ZZLUHRC,249,,,,
MET,MET,PIC,Heathrow Terminals 2 & 3,9400ZZLUHRC,Heathrow Terminal 5,9400ZZLUHR5,195,,,,
MET,MET,PIC,Acton Town,9400ZZLUACT,Ealing Common,9400ZZLUECM,146,,,,
MET,MET,PIC,Ealing Common,9400ZZLUECM,North Ealing,9400ZZLUNEN,126,,,,
MET,MET,PIC,North Ealing,9400ZZLUNEN,Park Royal,9400ZZLUPKR,120,,,,
MET,MET,PIC,Park Royal,9400ZZLUPKR,Alperton,9400ZZLUALP,161,,,,
MET,MET,PIC,Alperton,9400ZZLUALP,Sudbury Town,9400ZZLUSUT,143,,,,
MET,MET,PIC,Sudbury Town,9400ZZLUSUT,Sudbury Hill,9400ZZLUSUH,159,,,,
MET,MET,PIC,Sudbury Hill,9400ZZLUSUH,South Harrow,9400ZZLUSHH,144,,,,
MET,MET,PIC,South Harrow,9400ZZLUSHH,Rayners Lane,9400ZZLURYL,188,,,,
MET,MET,PIC,Rayners Lane,9400ZZLURYL,Eastcote,9400ZZLUEAE,150,,,,
MET,MET,PIC,Eastcote,9400ZZLUEAE,Ruislip Manor,9400ZZLURSM,124,,,,
MET,MET,PIC,Ruislip Manor,9400ZZLURSM,Ruislip,9400ZZLURSP,93,,,,
MET,MET,PIC,Ruislip,9400ZZLURSP,Ickenham,9400ZZLUICK,150,,,,
MET,MET,PIC,Ickenham,9400ZZLUICK,Hillingdon,9400ZZLUHGD,115,,,,
MET,MET,PIC,Hillingdon,9400ZZLUHGD,Uxbridge,9400ZZLUUXB,210,,,,
MET,MET,WTC,Waterloo,9400ZZLUWLO,Bank,9400ZZLUBNK,255,,,,
MET,MET,NTH,Edgware,9400ZZLUEGW,Burnt Oak,9400ZZLUBTK,149,,,,
MET,MET,NTH,Burnt Oak,9400ZZLUBTK,Colindale,9400ZZLUCND,135,,,,
MET,MET,NTH,Colindale,9400ZZLUCND,Hendon Central,9400ZZLUHCL,174,,,,
MET,MET,NTH,Hendon Central,9400ZZLUHCL,Brent Cross,9400ZZLUBTX,112,,,,
MET,MET,NTH,Brent Cross,9400ZZLUBTX,Golders Green,9400ZZLUGGN,153,,,,
MET,MET,NTH,Golders Green,9400ZZLUGGN,Hampstead,9400ZZLUHTD,208,,,,
MET,MET,NTH,Hampstead,9400ZZLUHTD,Belsize Park,9400ZZLUBZP,120,,,,
MET,MET,NTH,Belsize Park,9400ZZLUBZP,Chalk Farm,9400ZZLUCFM,110,,,,
MET,MET,NTH,Chalk Farm,9400ZZLUCFM,Camden Town,9400ZZLUCTN,102,,,,
MET,MET,NTH,Mill Hill East,9400ZZLUMHL,Finchley Central,9400ZZLUFYC,159,,,,
MET,MET,NTH,High Barnet,9400ZZLUHBT,Totteridge & Whetstone,9400ZZLUTAW,187,,,,
MET,MET,NTH,Totteridge & Whetstone,9400ZZLUTAW,Woodside Park,9400ZZLUWOP,127,,,,
MET,MET,NTH,Woodside Park,9400ZZLUWOP,West Finchley,9400ZZLUWFN,105,,,,
MET,MET,NTH,West Finchley,9400ZZLUWFN,Finchley Central,9400ZZLUFYC,127,,,,
MET,MET,NTH,Finchley Central,9400ZZLUFYC,East Finchley,9400ZZLUEFY,181,,,,
MET,MET,NTH,East Finchley,9400ZZLUEFY,Highgate,9400ZZLUHGT,156,,,,
MET,MET,NTH,Highgate,9400ZZLUHGT,Archway,9400ZZLUACY,166,,,,
MET,MET,NTH,Archway,9400ZZLUACY,Tufnell Park,9400ZZLUTFP,98,,,,
MET,MET,NTH,Tufnell Park,9400ZZLUTFP,Kentish Town,9400ZZLUKSH,95,,,,
MET,MET,NTH,Kentish Town,9400ZZLUKSH,Camden Town,9400ZZLUCTN,132,,,,
MET,MET,NTH,Camden Town,9400ZZLUCTN,Mornington Crescent,9400ZZLUMTC,101,,,,
MET,MET,NTH,Mornington Crescent,9400ZZLUMTC,Euston,9400ZZLUEUS,111,,,,
MET,MET,NTH,Euston,9400ZZLUEUS,Warren Street,9400ZZLUWRR,87,,,,
MET,MET,NTH,Warren Street,9400ZZLUWRR,Goodge Street,9400ZZLUGDG,74,,,,
MET,MET,NTH,Goodge Street,9400ZZLUGDG,Tottenham Court Road,9400ZZLUTCR,89,,,,
MET,MET,NTH,Tottenham Court Road,9400ZZLUTCR,Leicester Square,9400ZZLULSQ,70,,,,
MET,MET,NTH,Leicester Square,9400ZZLULSQ,Charing Cross,9400ZZLUCHX,80,,,,
MET,MET,NTH,Charing Cross,9400ZZLUCHX,Embankment,9400ZZLUEMB,63,,,,
MET,MET,NTH,Embankment,9400ZZLUEMB,Waterloo,9400ZZLUWLO,90,,,,
MET,MET,NTH,Waterloo,9400ZZLUWLO,Kennington,9400ZZLUKNG,167,,,,
MET,MET,NTH,Camden Town,9400ZZLUCTN,Euston,9400ZZLUEUS,190,,,,
MET,MET,NTH,Euston,9400ZZLUEUS,King's Cross St. Pancras,9400ZZLUKSX,101,,,,
MET,MET,NTH,King's Cross St. Pancras,9400ZZLUKSX,Angel,9400ZZLUAGL,147,,,,
MET,MET,NTH,Angel,9400ZZLUAGL,Old Street,9400ZZLUODS,144,,,,
MET,MET,NTH,Old Street,9400ZZLUODS,Moorgate,9400ZZLUMGT,98,,,,
MET,MET,NTH,Moorgate,9400ZZLUMGT,Bank,9400ZZLUBNK,121,,,,
MET,MET,NTH,Bank,9400ZZLUBNK,London Bridge,9400ZZLULNB,105,,,,
MET,MET,NTH,London Bridge,9400ZZLULNB,Borough,9400ZZLUBOR,93,,,,
MET,MET,NTH,Borough,9400ZZLUBOR,Elephant & Castle,9400ZZLUEAC,123,,,,
MET,MET,NTH,Elephant & Castle,9400ZZLUEAC,Kennington,9400ZZLUKNG,103,,,,
MET,MET,NTH,Kennington,9400ZZLUKNG,Oval,9400ZZLUOVL,115,,,,
MET,MET,NTH,Oval,9400ZZLUOVL,Stockwell,9400ZZLUSKW,137,,,,
MET,MET,NTH,Stockwell,9400ZZLUSKW,Clapham North,9400ZZLUCPN,96,,,,
MET,MET,NTH,Clapham North,9400ZZLUCPN,Clapham Common,9400ZZLUCPC,92,,,,
MET,MET,NTH,Clapham Common,9400ZZLUCPC,Clapham South,9400ZZLUCPS,129,,,,
MET,MET,NTH,Clapham South,9400ZZLUCPS,Balham,9400ZZLUBLM,120,,,,
MET,MET,NTH,Balham,9400ZZLUBLM,Tooting Bec,9400ZZLUTBC,107,,,,
MET,MET,NTH,Tooting Bec,9400ZZLUTBC,Tooting Broadway,9400ZZLUTBY,116,,,,
MET,MET,NTH,Tooting Broadway,9400ZZLUTBY,Colliers Wood,9400ZZLUCSD,122,,,,
MET,MET,NTH,Colliers Wood,9400ZZLUCSD,South Wimbledon,9400ZZLUSWN,118,,,,
MET,MET,NTH,South Wimbledon,9400ZZLUSWN,Morden,9400ZZLUMDN,137,,,,
MET,MET,MET,Chesham,9400ZZLUCSM,Chalfont & Latimer,9400ZZLUCAL,510,,,,
MET,MET,MET,Amersham,9400ZZLUAMS,Chalfont & Latimer,9400ZZLUCAL,210,,,,
MET,MET,MET,Chalfont & Latimer,9400ZZLUCAL,Chorleywood,9400ZZLUCYD,213,,,,
MET,MET,MET,Chorleywood,9400ZZLUCYD,Rickmansworth,9400ZZLURKW,224,,,,
MET,MET,MET,Rickmansworth,9400ZZLURKW,Moor Park,9400ZZLUMPK,224,,,,
MET,MET,MET,Moor Park,9400ZZLUMPK,Harrow-On-The-Hill,9400ZZLUHOH,531,,,,
MET,MET,MET,Rickmansworth,9400ZZLURKW,Croxley,9400ZZLUCXY,275,,,,
MET,MET,MET,Watford,9400ZZLUWAF,Croxley,9400ZZLUCXY,160,,,,
MET,MET,MET,Croxley,9400ZZLUCXY,Moor Park,9400ZZLUMPK,234,,,,
MET,MET,MET,Moor Park,9400ZZLUMPK,Northwood,9400ZZLUNOW,168,,,,
MET,MET,MET,Northwood,9400ZZLUNOW,Northwood Hills,9400ZZLUNWH,135,,,,
MET,MET,MET,Northwood Hills,9400ZZLUNWH,Pinner,9400ZZLUPNR,151,,,,
MET,MET,MET,Pinner,9400ZZLUPNR,North Harrow,9400ZZLUNHA,128,,,,
MET,MET,MET,North Harrow,9400ZZLUNHA,Harrow-On-The-Hill,9400ZZLUHOH,181,,,,
MET,MET,MET,Uxbridge,9400ZZLUUXB,Hillingdon,9400ZZLUHGD,170,,,,
MET,MET,MET,Hillingdon,9400ZZLUHGD,Ickenham,9400ZZLUICK,111,,,,
MET,MET,MET,Ickenham,9400ZZLUICK,Ruislip,9400ZZLURSP,153,,,,
MET,MET,MET,Ruislip,9400ZZLURSP,Ruislip Manor,9400ZZLURSM,96,,,,
MET,MET,MET,Ruislip Manor,9400ZZLURSM,Eastcote,9400ZZLUEAE,118,,,,
MET,MET,MET,Eastcote,9400ZZLUEAE,Rayners Lane,9400ZZLURYL,147,,,,
MET,MET,MET,Rayners Lane,9400ZZLURYL,West Harrow,9400ZZLUWHW,128,,,,
MET,MET,MET,Harrow-On-The-Hill,9400ZZLUHOH,Finchley Road,9400ZZLUFYR,641,,,,
MET,MET,MET,Harrow-On-The-Hill,9400ZZLUHOH,Northwick Park,9400ZZLUNKP,134,,,,
MET,MET,MET,Northwick Park,9400ZZLUNKP,Preston Road,9400ZZLUPRD,134,,,,
MET,MET,MET,Preston Road,9400ZZLUPRD,Wembley Park,9400ZZLUWYP,144,,,,
MET,MET,MET,Wembley Park,9400ZZLUWYP,Finchley Road,9400ZZLUFYR,423,,,,
MET,MET,MET,Finchley Road,9400ZZLUFYR,Baker Street,9400ZZLUBST,370,,,,
MET,MET,MET,Baker Street,9400ZZLUBST,Great Portland Street,9400ZZLUGPS,134,,,,
MET,MET,MET,Great Portland Street,9400ZZLUGPS,Euston Square,9400ZZLUESQ,95,,,,
MET,MET,MET,Euston Square,9400ZZLUESQ,King's Cross St. Pancras,9400ZZLUKSX,135,,,,
MET,MET,MET,King's Cross St. Pancras,9400ZZLUKSX,Farringdon,9400ZZLUFCN,200,,,,
MET,MET,MET,Farringdon,9400ZZLUFCN,Barbican,9400ZZLUBBN,98,,,,
MET,MET,MET,Barbican,9400ZZLUBBN,Moorgate,9400ZZLUMGT,105,,,,
MET,MET,MET,Moorgate,9400ZZLUMGT,Liverpool Street,9400ZZLULVT,102,,,,
MET,MET,MET,Liverpool Street,9400ZZLULVT,Aldgate,9400ZZLUALD,127,,,,
MET,MET,JUB,Stanmore,9400ZZLUSTM,Canons Park,9400ZZLUCPK,143,,,,
MET,MET,JUB,Canons Park,9400ZZLUCPK,Queensbury,9400ZZLUQBY,137,,,,
MET,MET,JUB,Queensbury,9400ZZLUQBY,Kingsbury,9400ZZLUKBY,123,,,,
MET,MET,JUB,Kingsbury,9400ZZLUKBY,Wembley Park,9400ZZLUWYP,217,,,,
MET,MET,JUB,Wembley Park,9400ZZLUWYP,Neasden,9400ZZLUNDN,169,,,,
MET,MET,JUB,Neasden,9400ZZLUNDN,Dollis Hill,9400ZZLUDOH,96,,,,
MET,MET,JUB,Dollis Hill,9400ZZLUDOH,Willesden Green,9400ZZLUWIG,116,,,,
MET,MET,JUB,Willesden Green,9400ZZLUWIG,Kilburn,9400ZZLUKBN,117,,,,
MET,MET,JUB,Kilburn,9400ZZLUKBN,West Hampstead,9400ZZLUWHP,103,,,,
MET,MET,JUB,West Hampstead,9400ZZLUWHP,Finchley Road,9400ZZLUFYR,95,,,,
MET,MET,JUB,Finchley Road,9400ZZLUFYR,Swiss Cottage,9400ZZLUSWC,81,,,,
MET,MET,JUB,Swiss Cottage,9400ZZLUSWC,St. John's Wood,9400ZZLUSJW,100,,,,
MET,MET,JUB,St. John's Wood,9400ZZLUSJW,Baker Street,9400ZZLUBST,156,,,,
MET,MET,JUB,Baker Street,9400ZZLUBST,Bond Street,9400ZZLUBND,149,,,,
MET,MET,JUB,Bond Street,9400ZZLUBND,Green Park,9400ZZLUGPK,113,,,,
MET,MET,JUB,Green Park,9400ZZLUGPK,Westminster,9400ZZLUWSM,126,,,,
MET,MET,JUB,Westminster,9400ZZLUWSM,Waterloo,9400ZZLUWLO,100,,,,
MET,MET,JUB,Waterloo,9400ZZLUWLO,Southwark,9400ZZLUSWK,68,,,,
MET,MET,JUB,Southwark,9400ZZLUSWK,London Bridge,9400ZZLULNB,114,,,,
MET,MET,JUB,London Bridge,9400ZZLULNB,Bermondsey,9400ZZLUBMY,137,,,,
MET,MET,JUB,Bermondsey,9400ZZLUBMY,Canada Water,9400ZZLUCWR,101,,,,
MET,MET,JUB,Canada Water,9400ZZLUCWR,Canary Wharf,9400ZZLUCYF,154,,,,
MET,MET,JUB,Canary Wharf,9400ZZLUCYF,North Greenwich,9400ZZLUNGW,127,,,,
MET,MET,JUB,North Greenwich,9400ZZLUNGW,Canning Town,9400ZZLUCGT,149,,,,
MET,MET,JUB,Canning Town,9400ZZLUCGT,West Ham,9400ZZLUWHM,143,,,,
MET,MET,JUB,West Ham,9400ZZLUWHM,Stratford,9400ZZLUSTD,160,,,,
MET,MET,DIS,Ealing Broadway,9400ZZLUEBY,Ealing Common,9400ZZLUECM,197,,,,
MET,MET,DIS,Ealing Common,9400ZZLUECM,Acton Town,9400ZZLUACT,145,,,,
MET,MET,DIS,Acton Town,9400ZZLUACT,Chiswick Park,9400ZZLUCWP,130,,,,
MET,MET,DIS,Chiswick Park,9400ZZLUCWP,Turnham Green,9400ZZLUTNG,111,,,,
MET,MET,DIS,Richmond,9400ZZLURMD,Kew Gardens,9400ZZLUKWG,217,,,,
MET,MET,DIS,Kew Gardens,9400ZZLUKWG,Gunnersbury,9400ZZLUGBY,164,,,,
MET,MET,DIS,Gunnersbury,9400ZZLUGBY,Turnham Green,9400ZZLUTNG,184,,,,
MET,MET,DIS,Turnham Green,9400ZZLUTNG,Stamford Brook,9400ZZLUSFB,80,,,,
MET,MET,DIS,Stamford Brook,9400ZZLUSFB,Ravenscourt Park,9400ZZLURVP,98,,,,
MET,MET,DIS,Ravenscourt Park,9400ZZLURVP,Hammersmith,9400ZZLUHSC,134,,,,
MET,MET,DIS,Hammersmith,9400ZZLUHSC,Barons Court,9400ZZLUBSC,99,,,,
MET,MET,DIS,Barons Court,9400ZZLUBSC,West Kensington,9400ZZLUWKN,95,,,,
MET,MET,DIS,West Kensington,9400ZZLUWKN,Earls Court,9400ZZLUECM,149,,,,
MET,MET,DIS,Kensington (Olympia),9400ZZLUKOY,Earls Court,9400ZZLUECM,216,,,,
MET,MET,DIS,Wimbledon,9400ZZLUWIM,Wimbledon Park,9400ZZLUWIP,173,,,,
MET,MET,DIS,Wimbledon Park,9400ZZLUWIP,Southfields,9400ZZLUSFS,135,,,,
MET,MET,DIS,Southfields,9400ZZLUSFS,East Putney,9400ZZLUEPY,155,,,,
MET,MET,DIS,East Putney,9400ZZLUEPY,Putney Bridge,9400ZZLUPYB,131,,,,
MET,MET,DIS,Putney Bridge,9400ZZLUPYB,Parsons Green,9400ZZLUPSG,122,,,,
MET,MET,DIS,Parsons Green,9400ZZLUPSG,Fulham Broadway,9400ZZLUFBY,105,,,,
MET,MET,DIS,Fulham Broadway,9400ZZLUFBY,West Brompton,9400ZZLUWBN,117,,,,
MET,MET,DIS,West Brompton,9400ZZLUWBN,Earls Court,9400ZZLUECM,118,,,,
MET,MET,DIS,Earls Court,9400ZZLUECM,High Street Kensington,9400ZZLUHSK,203,,,,
MET,MET,DIS,High Street Kensington,9400ZZLUHSK,Notting Hill Gate,9400ZZLUNHG,124,,,,
MET,MET,DIS,Notting Hill Gate,9400ZZLUNHG,Bayswater,9400ZZLUBWT,106,,,,
MET,MET,DIS,Bayswater,9400ZZLUBWT,Paddington,9400ZZLUPAC,123,,,,
MET,MET,DIS,Paddington,9400ZZLUPAC,Edgware Road,9400ZZLUERC,120,,,,
MET,MET,DIS,Earls Court,9400ZZLUECM,Gloucester Road,9400ZZLUGTR,143,,,,
MET,MET,DIS,Gloucester Road,9400ZZLUGTR,South Kensington,9400ZZLUSKS,109,,,,
MET,MET,DIS,South Kensington,9400ZZLUSKS,Sloane Square,9400ZZLUSSQ,137,,,,
MET,MET,DIS,Sloane Square,9400ZZLUSSQ,Victoria,9400ZZLUVIC,135,,,,
MET,MET,DIS,Victoria,9400ZZLUVIC,St. James's Park,9400ZZLUSJP,104,,,,
MET,MET,DIS,St. James's Park,9400ZZLUSJP,Westminster,9400ZZLUWSM,111,,,,
MET,MET,DIS,Westminster,9400ZZLUWSM,Embankment,9400ZZLUEMB,106,,,,
MET,MET,DIS,Embankment,9400ZZLUEMB,Temple,9400ZZLUTMP,99,,,,
MET,MET,DIS,Temple,9400ZZLUTMP,Blackfriars,9400ZZLUBKF,104,,,,
MET,MET,DIS,Blackfriars,9400ZZLUBKF,Mansion House,9400ZZLUMSH,107,,,,
MET,MET,DIS,Mansion House,9400ZZLUMSH,Cannon Street,9400ZZLUCST,76,,,,
MET,MET,DIS,Cannon Street,9400ZZLUCST,Monument,9400ZZLUMMT,81,,,,
MET,MET,DIS,Monument,9400ZZLUMMT,Tower Hill,9400ZZLUTWH,114,,,,
MET,MET,DIS,Tower Hill,9400ZZLUTWH,Aldgate East,9400ZZLUADE,138,,,,
MET,MET,DIS,Aldgate East,9400ZZLUADE,Whitechapel,9400ZZLUWPL,137,,,,
MET,MET,DIS,Whitechapel,9400ZZLUWPL,Stepney Green,9400ZZLUSGN,125,,,,
MET,MET,DIS,Stepney Green,9400ZZLUSGN,Mile End,9400ZZLUMED,118,,,,
MET,MET,DIS,Mile End,9400ZZLUMED,Bow Road,9400ZZLUBWR,86,,,,
MET,MET,DIS,Bow Road,9400ZZLUBWR,Bromley-By-Bow,9400ZZLUBBB,130,,,,
MET,MET,DIS,Bromley-By-Bow,9400ZZLUBBB,West Ham,9400ZZLUWHM,135,,,,
MET,MET,DIS,West Ham,9400ZZLUWHM,Plaistow,9400ZZLUPLW,99,,,,
MET,MET,DIS,Plaistow,9400ZZLUPLW,Upton Park,9400ZZLUUPK,128,,,,
MET,MET,DIS,Upton Park,9400ZZLUUPK,East Ham,9400ZZLUEHM,131,,,,
MET,MET,DIS,East Ham,9400ZZLUEHM,Barking,9400ZZLUBKG,211,,,,
MET,MET,DIS,Barking,9400ZZLUBKG,Upney,9400ZZLUUPY,133,,,,
MET,MET,DIS,Upney,9400ZZLUUPY,Becontree,9400ZZLUBEC,150,,,,
MET,MET,DIS,Becontree,9400ZZLUBEC,Dagenham Heathway,9400ZZLUDGY,127,,,,
MET,MET,DIS,Dagenham Heathway,9400ZZLUDGY,Dagenham East,9400ZZLUDGE,127,,,,
MET,MET,DIS,Dagenham East,9400ZZLUDGE,Elm Park,9400ZZLUEPK,180,,,,
MET,MET,DIS,Elm Park,9400ZZLUEPK,Hornchurch,9400ZZLUHCH,136,,,,
MET,MET,DIS,Hornchurch,9400ZZLUHCH,Upminster Bridge,9400ZZLUUPB,124,,,,
MET,MET,DIS,Upminster Bridge,9400ZZLUUPB,Upminster,9400ZZLUUPM,130,,,,
MET,MET,CIR,Aldgate,9400ZZLUALD,Tower Hill,9400ZZLUTWH,111,,,,
MET,MET,CIR,Tower Hill,9400ZZLUTWH,Monument,9400ZZLUMMT,109,,,,
MET,MET,CIR,Monument,9400ZZLUMMT,Cannon Street,9400ZZLUCST,74,,,,
MET,MET,CIR,Cannon Street,9400ZZLUCST,Mansion House,9400ZZLUMSH,76,,,,
MET,MET,CIR,Mansion House,9400ZZLUMSH,Blackfriars,9400ZZLUBKF,93,,,,
MET,MET,CIR,Blackfriars,9400ZZLUBKF,Temple,9400ZZLUTMP,105,,,,
MET,MET,CIR,Temple,9400ZZLUTMP,Embankment,9400ZZLUEMB,106,,,,
MET,MET,CIR,Embankment,9400ZZLUEMB,Westminster,9400ZZLUWSM,99,,,,
MET,MET,CIR,Westminster,9400ZZLUWSM,St. James's Park,9400ZZLUSJP,105,,,,
MET,MET,CIR,St. James's Park,9400ZZLUSJP,Victoria,9400ZZLUVIC,109,,,,
MET,MET,CIR,Victoria,9400ZZLUVIC,Sloane Square,9400ZZLUSSQ,130,,,,
MET,MET,CIR,Sloane Square,9400ZZLUSSQ,South Kensington,9400ZZLUSKS,148,,,,
MET,MET,CIR,South Kensington,9400ZZLUSKS,Gloucester Road,9400ZZLUGTR,111,,,,
MET,MET,CIR,Gloucester Road,9400ZZLUGTR,High Street Kensington,9400ZZLUHSK,154,,,,
MET,MET,CIR,High Street Kensington,9400ZZLUHSK,Notting Hill Gate,9400ZZLUNHG,124,,,,
MET,MET,CIR,Notting Hill Gate,9400ZZLUNHG,Bayswater,9400ZZLUBWT,106,,,,
MET,MET,CIR,Bayswater,9400ZZLUBWT,Paddington,9400ZZLUPAC,123,,,,
MET,MET,CIR,Paddington,9400ZZLUPAC,Edgware Road,9400ZZLUERC,120,,,,
MET,MET,CIR,Hammersmith,9400ZZLUHSC,Goldhawk Road,9400ZZLUGHK,119,,,,
MET,MET,CIR,Goldhawk Road,9400ZZLUGHK,Shepherd's Bush Market,9400ZZLUSBM,86,,,,
MET,MET,CIR,Shepherd's Bush Market,9400ZZLUSBM,Wood Lane,9400ZZLUWLA,81,,,,
MET,MET,CIR,Wood Lane,9400ZZLUWLA,Latimer Road,9400ZZLULRD,84,,,,
MET,MET,CIR,Latimer Road,9400ZZLULRD,Ladbroke Grove,9400ZZLULAD,94,,,,
MET,MET,CIR,Ladbroke Grove,9400ZZLULAD,Westbourne Park,9400ZZLUWSP,103,,,,
MET,MET,CIR,Westbourne Park,9400ZZLUWSP,Royal Oak,9400ZZLURYO,120,,,,
MET,MET,CIR,Royal Oak,9400ZZLURYO,Paddington,9400ZZLUPAC,110,,,,
MET,MET,CIR,Paddington,9400ZZLUPAC,Edgware Road,9400ZZLUERC,160,,,,
MET,MET,CIR,Edgware Road,9400ZZLUERC,Baker Street,9400ZZLUBST,150,,,,
MET,MET,CIR,Baker Street,9400ZZLUBST,Great Portland Street,9400ZZLUGPS,135,,,,
MET,MET,CIR,Great Portland Street,9400ZZLUGPS,Euston Square,9400ZZLUESQ,95,,,,
MET,MET,CIR,Euston Square,9400ZZLUESQ,King's Cross St. Pancras,9400ZZLUKSX,135,,,,
